reviewStatus,suggestedCategory,categories,name,rating,reviewCount,address,googlePrimaryType,businessStatus,googleMapsUri,googlePlaceId,matchedQueries,notes
"approved","dive","dive","Amigos Dive Center","4.8","1050","Panagsama Beach, Moalboal, 6032 Cebu","sports_activity_location","OPERATIONAL","https://maps.google.com/?cid=3590270686464582605&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJG1a5Su3pqzMRzSM40io00zE","dive shop | scuba diving",""
"approved","dive","dive","Amo Diving","4","90","X928+97X, Panagsama Beach, Moalboal, 6032 Cebu","sporting_goods_store","OPERATIONAL","https://maps.google.com/?cid=3904814613093621042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJM8AJZDHpqzMRMh0ztzOwMDY","dive shop | scuba diving",""
"approved","dive","dive","Cebu Fun Divers","4.9","456","Sitio Talisay Rd, Basdiot, Moalboal, 6032 Cebu","sports_activity_location","OPERATIONAL","https://maps.google.com/?cid=14473057440936348209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ8QQzNt3oqzMRMcrVnA-h2sg","dive shop | scuba diving | snorkeling tour",""
"approved","dive","dive","Dive LAB Cebu","4.8","73","Panagsama Beach, Moalboal, Cebu","sports_activity_location","OPERATIONAL","https://maps.google.com/?cid=11119412758579254099&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJrwukFOOWqTMRUxMQov0WUJo","dive shop | scuba diving | snorkeling tour",""
"approved","dive","dive","DIVESTORY MOALBOAL SCUBA DIVING CENTER","4.8","271","DIVESTORY MOALBOAL, Panagsama Beach, Basdiot, Moalboal, 6032 Cebu","sports_activity_location","OPERATIONAL","https://maps.google.com/?cid=1263549945713625321&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ2UTerTPpqzMR6Yg5JvsHiRE","dive shop | scuba diving",""
"approved","dive","dive","FLOI DIVING CENTER","4.9","227","Panagsama Beach, Moalboal, Cebu","sporting_goods_store","OPERATIONAL","https://maps.google.com/?cid=4229528040873263566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJEbNsZ5LpqzMRzgHOG1hNsjo","dive shop | scuba diving",""
"approved","dive","dive","Freediving Planet Moalboal","4.8","203","Brgy, Tuble Rd, Basdiot, Moalboal, 6032 Cebu","sports_activity_location","OPERATIONAL","https://maps.google.com/?cid=1212549068720739461&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJZSkPib7oqzMRhZTUIfTW0xA","dive shop | scuba diving | snorkeling tour",""
"approved","dive","dive | transport","Johns Adventure And Tours","4.9","73","Panagsama Rd, Moalboal, 6032 Cebu","tour_agency","OPERATIONAL","https://maps.google.com/?cid=17452488931802613829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJufuP5w_pqzMRRQiIWjeyM_I","snorkeling tour | tour operator | travel agency",""
"approved","dive","dive","June Dive Resort","4.7","164","Panagsama Rd, Moalboal, Cebu","sports_activity_location","OPERATIONAL","https://maps.google.com/?cid=11351851473981993079&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJGbsW0MDoqzMRd_CwWcXgiZ0","dive shop | scuba diving",""
"approved","dive","dive","Kasai Village Dive Resort","4.4","231","Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=16558211760192398933&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","ChIJXSXwVWLoqzMRVab24d2VyuU","scuba diving",""
